,x,y,w,h
0,7.39622641509434,14.49056603773585,13.735849056603772,11.471698113207546
1,21.88679245283019,14.188679245283017,10.716981132075471,12.075471698113207
2,33.35849056603774,14.188679245283017,10.716981132075471,12.075471698113207
3,44.679245283018865,14.49056603773585,13.886792452830187,11.471698113207546
4,59.0188679245283,14.188679245283017,12.528301886792452,16.452830188679243
5,72.45283018867924,14.188679245283017,10.716981132075471,12.075471698113207
6,83.77358490566037,14.49056603773585,11.471698113207546,11.471698113207546
7,95.84905660377358,14.188679245283017,10.716981132075471,12.075471698113207
8,107.16981132075472,14.188679245283017,12.528301886792452,16.452830188679243
9,119.84905660377358,14.339622641509433,18.11320754716981,11.924528301886792
10,137.96226415094338,14.49056603773585,13.886792452830187,11.471698113207546
11,152.30188679245282,14.49056603773585,15.849056603773585,11.471698113207546
12,168.75471698113208,14.49056603773585,15.849056603773585,11.471698113207546
13,186.26415094339623,14.188679245283017,10.716981132075471,12.075471698113207
