,x,y,w,h
0,7.39622641509434,6.943396226415094,16.0,22.49056603773585
1,24.0,12.830188679245282,12.528301886792452,16.60377358490566
2,37.73584905660377,12.830188679245282,12.226415094339622,12.226415094339622
3,49.9622641509434,13.132075471698112,12.377358490566037,11.924528301886792
4,62.18867924528302,13.283018867924527,13.886792452830187,14.79245283018868
5,76.52830188679245,13.283018867924527,13.886792452830187,11.471698113207546
6,91.0188679245283,12.830188679245282,10.716981132075471,12.226415094339622
7,102.33962264150944,13.283018867924527,13.886792452830187,11.471698113207546
8,116.67924528301886,13.283018867924527,13.735849056603772,11.471698113207546
9,131.0188679245283,13.283018867924527,15,11.471698113207546
11,147.9245283018868,13.283018867924527,12.679245283018867,11.471698113207546
